<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBUSD,D,20180116,000000,0.0176830,0.0177150,0.0176370,0.0176370,292
RUBUSD,D,20180117,000000,0.0176240,0.0176710,0.0175270,0.0175580,291
RUBUSD,D,20180118,000000,0.0175580,0.0176760,0.0175220,0.0176400,294
RUBUSD,D,20180119,000000,0.0176400,0.0176680,0.0175750,0.0175820,294
RUBUSD,D,20180120,000000,0.0175810,0.0176010,0.0175690,0.0175730,19
RUBUSD,D,20180121,000000,0.0176090,0.0176090,0.0176090,0.0176090,3
RUBUSD,D,20180122,000000,0.0175850,0.0176590,0.0175800,0.0176540,282
RUBUSD,D,20180123,000000,0.0176540,0.0176960,0.0176230,0.0176810,294
RUBUSD,D,20180124,000000,0.0176750,0.0177510,0.0176570,0.0177450,243
RUBUSD,D,20180125,000000,0.0177570,0.0179290,0.0177200,0.0178330,270
RUBUSD,D,20180126,000000,0.0178460,0.0178850,0.0177290,0.0177290,267
RUBUSD,D,20180127,000000,0.0177230,0.0177340,0.0177230,0.0177310,29
RUBUSD,D,20180128,000000,0.0177340,0.0177340,0.0177340,0.0177340,7
RUBUSD,D,20180129,000000,0.0177340,0.0177450,0.0176490,0.0177000,252
RUBUSD,D,20180130,000000,0.0176990,0.0178390,0.0176610,0.0176810,293
RUBUSD,D,20180131,000000,0.0176810,0.0177770,0.0176630,0.0177410,293
RUBUSD,D,20180201,000000,0.0177390,0.0178260,0.0176800,0.0178260,264
RUBUSD,D,20180202,000000,0.0178270,0.0178370,0.0176280,0.0176280,266
RUBUSD,D,20180203,000000,0.0176330,0.0176500,0.0176290,0.0176340,25
RUBUSD,D,20180204,000000,0.0177180,0.0177200,0.0177160,0.0177170,19
RUBUSD,D,20180205,000000,0.0177440,0.0177440,0.0174140,0.0174140,293
RUBUSD,D,20180206,000000,0.0174020,0.0175380,0.0173000,0.0175380,291
RUBUSD,D,20180207,000000,0.0175360,0.0175420,0.0172810,0.0172810,293
RUBUSD,D,20180208,000000,0.0172540,0.0173250,0.0170670,0.0170670,283
RUBUSD,D,20180209,000000,0.0170610,0.0172140,0.0169720,0.0170870,293
RUBUSD,D,20180210,000000,0.0170840,0.0170860,0.0170810,0.0170860,21
RUBUSD,D,20180212,000000,0.0170880,0.0172920,0.0170080,0.0172500,292
RUBUSD,D,20180213,000000,0.0172490,0.0173050,0.0172090,0.0172970,293
RUBUSD,D,20180214,000000,0.0172950,0.0175820,0.0172580,0.0175780,284
RUBUSD,D,20180215,000000,0.0175700,0.0176790,0.0175330,0.0176780,293
RUBUSD,D,20180216,000000,0.0176810,0.0177430,0.0176440,0.0176840,291
RUBUSD,D,20180217,000000,0.0176770,0.0176780,0.0176730,0.0176730,27
RUBUSD,D,20180218,000000,0.0176290,0.0176540,0.0176290,0.0176540,7
RUBUSD,D,20180219,000000,0.0176540,0.0177170,0.0176350,0.0176620,294
RUBUSD,D,20180220,000000,0.0176580,0.0176870,0.0175700,0.0176350,238
RUBUSD,D,20180221,000000,0.0176350,0.0176490,0.0175640,0.0175640,282
RUBUSD,D,20180222,000000,0.0175590,0.0176500,0.0175470,0.0176410,294
RUBUSD,D,20180223,000000,0.0176370,0.0177130,0.0176160,0.0177090,293
RUBUSD,D,20180224,000000,0.0176970,0.0177760,0.0176790,0.0176850,27
RUBUSD,D,20180225,000000,0.0177710,0.0177710,0.0177710,0.0177710,2
RUBUSD,D,20180226,000000,0.0177710,0.0179010,0.0177430,0.0179010,290
RUBUSD,D,20180227,000000,0.0178940,0.0179460,0.0177130,0.0177220,294
RUBUSD,D,20180228,000000,0.0177220,0.0177800,0.0176650,0.0176900,292
RUBUSD,D,20180301,000000,0.0176890,0.0177020,0.0174760,0.0175520,294
RUBUSD,D,20180302,000000,0.0175460,0.0176200,0.0173860,0.0175480,261
RUBUSD,D,20180303,000000,0.0175460,0.0175590,0.0175450,0.0175510,19
RUBUSD,D,20180304,000000,0.0174690,0.0175470,0.0174690,0.0174690,21
RUBUSD,D,20180305,000000,0.0174810,0.0176790,0.0174280,0.0176790,286
RUBUSD,D,20180306,000000,0.0176790,0.0177190,0.0175720,0.0176070,293
RUBUSD,D,20180307,000000,0.0175950,0.0176080,0.0174780,0.0175420,245
RUBUSD,D,20180308,000000,0.0175330,0.0175590,0.0174450,0.0174630,265
RUBUSD,D,20180309,000000,0.0174610,0.0176110,0.0174520,0.0176030,256
RUBUSD,D,20180310,000000,0.0175990,0.0176040,0.0175950,0.0175980,17
RUBUSD,D,20180311,000000,0.0175910,0.0175910,0.0175690,0.0175690,16
RUBUSD,D,20180312,000000,0.0175530,0.0176440,0.0174990,0.0175360,257
RUBUSD,D,20180313,000000,0.0175100,0.0175900,0.0174550,0.0174720,251
RUBUSD,D,20180314,000000,0.0174750,0.0175580,0.0174030,0.0174400,249
RUBUSD,D,20180315,000000,0.0174430,0.0175110,0.0173330,0.0173550,253
RUBUSD,D,20180316,000000,0.0173530,0.0173660,0.0172570,0.0173390,236
RUBUSD,D,20180317,000000,0.0173320,0.0173460,0.0173320,0.0173320,9
RUBUSD,D,20180318,000000,0.0173400,0.0173700,0.0173400,0.0173700,14
RUBUSD,D,20180319,000000,0.0173690,0.0173690,0.0171910,0.0172590,247
RUBUSD,D,20180320,000000,0.0172580,0.0173630,0.0172270,0.0173190,262
RUBUSD,D,20180321,000000,0.0173100,0.0175380,0.0172980,0.0175350,292
RUBUSD,D,20180322,000000,0.0175270,0.0175640,0.0174100,0.0174100,289
RUBUSD,D,20180323,000000,0.0174170,0.0174950,0.0173700,0.0174180,294
RUBUSD,D,20180324,000000,0.0174220,0.0174220,0.0174090,0.0174180,17
RUBUSD,D,20180325,000000,0.0174350,0.0174350,0.0174020,0.0174020,12
RUBUSD,D,20180326,000000,0.0173980,0.0175450,0.0173710,0.0174380,246
RUBUSD,D,20180327,000000,0.0174330,0.0174830,0.0173290,0.0173700,247
RUBUSD,D,20180328,000000,0.0173660,0.0174100,0.0172290,0.0172670,245
RUBUSD,D,20180329,000000,0.0172620,0.0174150,0.0172530,0.0174030,257
RUBUSD,D,20180330,000000,0.0174100,0.0174800,0.0173480,0.0174540,294
RUBUSD,D,20180331,000000,0.0173640,0.0174490,0.0173640,0.0174490,11
RUBUSD,D,20180401,000000,0.0174790,0.0174790,0.0174340,0.0174350,15
RUBUSD,D,20180402,000000,0.0174350,0.0174510,0.0172950,0.0173330,294
RUBUSD,D,20180403,000000,0.0174100,0.0174240,0.0172800,0.0173060,294
RUBUSD,D,20180404,000000,0.0173130,0.0173650,0.0172200,0.0173600,293
RUBUSD,D,20180405,000000,0.0173640,0.0173660,0.0172650,0.0172830,294
RUBUSD,D,20180406,000000,0.0172810,0.0173130,0.0171410,0.0171560,261
RUBUSD,D,20180407,000000,0.0171660,0.0171670,0.0171420,0.0171420,10
RUBUSD,D,20180408,000000,0.0171560,0.0171600,0.0171420,0.0171600,17
RUBUSD,D,20180409,000000,0.0171600,0.0171680,0.0164400,0.0164440,236
RUBUSD,D,20180410,000000,0.0164450,0.0165490,0.0155930,0.0158610,293
RUBUSD,D,20180411,000000,0.0158010,0.0159850,0.0153270,0.0159730,294
RUBUSD,D,20180412,000000,0.0159560,0.0162490,0.0157950,0.0160760,293
RUBUSD,D,20180413,000000,0.0161040,0.0162590,0.0160080,0.0160480,293
