<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBEUR,D,20171023,000000,0.0147370,0.0147800,0.0147050,0.0147410,308
RUBEUR,D,20171024,000000,0.0147480,0.0147590,0.0146830,0.0147030,308
RUBEUR,D,20171025,000000,0.0146980,0.0147370,0.0145980,0.0146080,312
RUBEUR,D,20171026,000000,0.0146070,0.0147970,0.0145760,0.0147870,308
RUBEUR,D,20171027,000000,0.0147870,0.0148320,0.0146320,0.0147910,311
RUBEUR,D,20171028,000000,0.0147810,0.0147820,0.0147810,0.0147820,7
RUBEUR,D,20171029,000000,0.0147780,0.0147780,0.0147010,0.0147020,10
RUBEUR,D,20171030,000000,0.0147440,0.0148600,0.0147380,0.0147510,306
RUBEUR,D,20171031,000000,0.0147530,0.0147880,0.0146110,0.0146570,308
RUBEUR,D,20171101,000000,0.0146670,0.0147650,0.0146580,0.0147190,306
RUBEUR,D,20171102,000000,0.0147340,0.0147450,0.0146210,0.0146880,313
RUBEUR,D,20171103,000000,0.0146870,0.0147060,0.0144850,0.0145370,310
RUBEUR,D,20171104,000000,0.0145380,0.0145380,0.0145330,0.0145330,7
RUBEUR,D,20171105,000000,0.0145570,0.0145620,0.0145170,0.0145250,24
RUBEUR,D,20171106,000000,0.0145230,0.0147330,0.0145160,0.0147320,290
RUBEUR,D,20171107,000000,0.0147350,0.0147410,0.0144820,0.0144870,305
RUBEUR,D,20171108,000000,0.0144900,0.0145520,0.0144250,0.0145110,293
RUBEUR,D,20171109,000000,0.0145070,0.0145230,0.0144030,0.0144370,312
RUBEUR,D,20171110,000000,0.0144400,0.0144720,0.0143810,0.0144330,306
RUBEUR,D,20171111,000000,0.0144330,0.0144410,0.0144240,0.0144410,19
RUBEUR,D,20171113,000000,0.0144070,0.0144750,0.0143500,0.0143790,291
RUBEUR,D,20171114,000000,0.0143730,0.0143940,0.0140260,0.0140300,313
RUBEUR,D,20171115,000000,0.0140280,0.0140600,0.0139250,0.0140310,315
RUBEUR,D,20171116,000000,0.0140350,0.0142090,0.0140270,0.0141940,305
RUBEUR,D,20171117,000000,0.0141870,0.0143140,0.0141310,0.0143020,307
RUBEUR,D,20171118,000000,0.0143090,0.0143340,0.0143040,0.0143190,19
RUBEUR,D,20171120,000000,0.0143040,0.0143950,0.0142010,0.0143040,304
RUBEUR,D,20171121,000000,0.0143130,0.0143630,0.0142530,0.0143460,312
RUBEUR,D,20171122,000000,0.0143410,0.0144570,0.0143270,0.0144170,301
RUBEUR,D,20171123,000000,0.0144230,0.0144380,0.0143730,0.0143800,305
RUBEUR,D,20171124,000000,0.0143790,0.0144070,0.0142920,0.0143050,309
RUBEUR,D,20171125,000000,0.0143040,0.0143080,0.0142850,0.0142920,18
RUBEUR,D,20171126,000000,0.0142860,0.0142860,0.0142860,0.0142860,2
RUBEUR,D,20171127,000000,0.0142830,0.0143800,0.0142830,0.0143200,306
RUBEUR,D,20171128,000000,0.0143180,0.0144210,0.0143120,0.0144150,321
RUBEUR,D,20171129,000000,0.0144140,0.0144430,0.0143150,0.0143360,313
RUBEUR,D,20171130,000000,0.0143260,0.0144130,0.0142820,0.0143340,315
RUBEUR,D,20171201,000000,0.0143220,0.0143500,0.0141500,0.0142250,311
RUBEUR,D,20171202,000000,0.0142300,0.0142300,0.0142100,0.0142200,19
RUBEUR,D,20171204,000000,0.0142640,0.0143410,0.0142380,0.0142840,298
RUBEUR,D,20171205,000000,0.0142720,0.0143850,0.0142680,0.0143440,307
RUBEUR,D,20171206,000000,0.0143480,0.0143530,0.0142460,0.0142620,311
RUBEUR,D,20171207,000000,0.0142630,0.0143050,0.0142370,0.0143020,318
RUBEUR,D,20171208,000000,0.0143050,0.0143420,0.0142740,0.0143300,304
RUBEUR,D,20171209,000000,0.0143260,0.0143310,0.0143180,0.0143210,19
RUBEUR,D,20171210,000000,0.0143310,0.0143320,0.0143300,0.0143300,6
RUBEUR,D,20171211,000000,0.0143250,0.0143900,0.0142450,0.0143520,298
RUBEUR,D,20171212,000000,0.0143560,0.0144010,0.0143150,0.0143230,305
RUBEUR,D,20171213,000000,0.0143260,0.0144350,0.0142970,0.0143790,311
RUBEUR,D,20171214,000000,0.0143790,0.0144180,0.0143120,0.0143830,318
RUBEUR,D,20171215,000000,0.0143600,0.0144150,0.0143090,0.0144130,309
RUBEUR,D,20171216,000000,0.0144080,0.0144160,0.0144060,0.0144160,19
RUBEUR,D,20171217,000000,0.0144170,0.0144180,0.0144150,0.0144180,5
RUBEUR,D,20171218,000000,0.0144170,0.0144400,0.0143710,0.0144210,284
RUBEUR,D,20171219,000000,0.0144160,0.0144280,0.0143000,0.0143180,293
RUBEUR,D,20171220,000000,0.0143200,0.0143580,0.0142720,0.0142920,303
RUBEUR,D,20171221,000000,0.0142920,0.0143800,0.0142810,0.0143560,304
RUBEUR,D,20171222,000000,0.0143540,0.0144440,0.0143490,0.0144100,306
RUBEUR,D,20171223,000000,0.0144050,0.0144300,0.0143960,0.0144000,19
RUBEUR,D,20171225,000000,0.0144070,0.0145270,0.0143960,0.0144780,181
RUBEUR,D,20171226,000000,0.0144810,0.0145780,0.0144040,0.0145740,291
RUBEUR,D,20171227,000000,0.0145790,0.0146160,0.0144620,0.0145180,309
RUBEUR,D,20171228,000000,0.0144790,0.0145420,0.0144700,0.0145180,309
RUBEUR,D,20171229,000000,0.0145210,0.0145210,0.0143490,0.0143790,302
RUBEUR,D,20171230,000000,0.0143780,0.0144020,0.0143700,0.0144010,20
RUBEUR,D,20180101,000000,0.0144000,0.0144040,0.0143120,0.0143930,164
RUBEUR,D,20180102,000000,0.0143190,0.0144540,0.0143100,0.0143910,263
RUBEUR,D,20180103,000000,0.0143870,0.0145070,0.0143420,0.0144980,293
RUBEUR,D,20180104,000000,0.0144940,0.0145450,0.0144390,0.0145190,263
RUBEUR,D,20180105,000000,0.0144980,0.0145460,0.0144720,0.0145320,259
RUBEUR,D,20180106,000000,0.0145330,0.0145530,0.0145320,0.0145440,18
RUBEUR,D,20180107,000000,0.0145530,0.0145580,0.0145500,0.0145540,12
RUBEUR,D,20180108,000000,0.0145400,0.0145910,0.0145100,0.0145830,274
RUBEUR,D,20180109,000000,0.0145790,0.0146980,0.0145690,0.0146490,245
RUBEUR,D,20180110,000000,0.0146580,0.0147110,0.0145550,0.0146140,292
RUBEUR,D,20180111,000000,0.0146200,0.0146800,0.0145500,0.0146780,294
RUBEUR,D,20180112,000000,0.0146740,0.0146820,0.0144330,0.0144330,294
RUBEUR,D,20180113,000000,0.0144310,0.0144330,0.0144090,0.0144140,19
RUBEUR,D,20180114,000000,0.0144370,0.0144430,0.0144370,0.0144430,6
RUBEUR,D,20180115,000000,0.0144200,0.0144980,0.0143490,0.0143950,292
RUBEUR,D,20180116,000000,0.0144030,0.0144660,0.0143590,0.0143670,293
RUBEUR,D,20180117,000000,0.0143580,0.0144280,0.0143170,0.0143680,292
RUBEUR,D,20180118,000000,0.0143680,0.0144370,0.0143540,0.0144080,293
RUBEUR,D,20180119,000000,0.0144040,0.0144130,0.0143320,0.0143710,294
RUBEUR,D,20180120,000000,0.0143770,0.0143910,0.0143670,0.0143690,19
RUBEUR,D,20180121,000000,0.0143460,0.0143460,0.0143430,0.0143430,3
RUBEUR,D,20180122,000000,0.0143240,0.0144210,0.0143240,0.0143920,282
RUBEUR,D,20180123,000000,0.0143920,0.0144390,0.0143540,0.0143730,294
RUBEUR,D,20180124,000000,0.0143680,0.0143820,0.0142590,0.0142960,245
RUBEUR,D,20180125,000000,0.0143090,0.0144090,0.0142540,0.0143610,273
RUBEUR,D,20180126,000000,0.0143600,0.0144060,0.0142530,0.0142660,271
RUBEUR,D,20180127,000000,0.0142660,0.0142660,0.0142540,0.0142600,19
RUBEUR,D,20180128,000000,0.0142630,0.0142630,0.0142630,0.0142630,7
RUBEUR,D,20180129,000000,0.0142740,0.0143250,0.0142380,0.0142820,252
RUBEUR,D,20180130,000000,0.0142840,0.0143610,0.0142230,0.0142500,292
RUBEUR,D,20180131,000000,0.0142560,0.0142880,0.0141890,0.0142810,292
RUBEUR,D,20180201,000000,0.0142780,0.0143200,0.0141840,0.0142300,265
RUBEUR,D,20180202,000000,0.0142330,0.0142480,0.0141340,0.0141340,259
RUBEUR,D,20180203,000000,0.0141400,0.0141600,0.0141380,0.0141430,20
RUBEUR,D,20180204,000000,0.0142350,0.0142380,0.0142300,0.0142380,19
RUBEUR,D,20180205,000000,0.0142610,0.0142610,0.0140300,0.0140420,293
RUBEUR,D,20180206,000000,0.0140370,0.0141670,0.0139930,0.0141670,291
RUBEUR,D,20180207,000000,0.0141650,0.0141900,0.0140870,0.0140870,293
RUBEUR,D,20180208,000000,0.0140630,0.0141070,0.0139230,0.0139290,284
RUBEUR,D,20180209,000000,0.0139260,0.0140280,0.0138770,0.0139490,293
RUBEUR,D,20180210,000000,0.0139540,0.0139540,0.0139320,0.0139340,21
RUBEUR,D,20180212,000000,0.0139440,0.0140690,0.0138780,0.0140270,292
RUBEUR,D,20180213,000000,0.0140240,0.0140550,0.0139230,0.0139870,293
RUBEUR,D,20180214,000000,0.0139870,0.0141270,0.0139310,0.0141050,287
RUBEUR,D,20180215,000000,0.0140870,0.0141340,0.0140450,0.0141260,293
RUBEUR,D,20180216,000000,0.0141300,0.0142500,0.0140800,0.0142460,291
RUBEUR,D,20180217,000000,0.0142400,0.0142400,0.0142270,0.0142270,21
RUBEUR,D,20180218,000000,0.0141960,0.0142300,0.0141960,0.0142280,7
RUBEUR,D,20180219,000000,0.0142280,0.0142720,0.0141960,0.0142250,294
RUBEUR,D,20180220,000000,0.0142230,0.0143190,0.0142080,0.0142840,253
RUBEUR,D,20180221,000000,0.0142860,0.0143080,0.0142580,0.0142810,280
RUBEUR,D,20180222,000000,0.0142770,0.0143210,0.0142570,0.0143010,293
RUBEUR,D,20180223,000000,0.0143000,0.0144010,0.0142880,0.0143880,293
RUBEUR,D,20180224,000000,0.0143850,0.0144460,0.0143850,0.0143950,19
RUBEUR,D,20180225,000000,0.0144550,0.0144570,0.0144550,0.0144570,2
RUBEUR,D,20180226,000000,0.0144490,0.0145280,0.0144110,0.0145280,289
RUBEUR,D,20180227,000000,0.0145230,0.0145510,0.0144590,0.0144810,294
RUBEUR,D,20180228,000000,0.0144820,0.0145460,0.0144550,0.0144920,293
RUBEUR,D,20180301,000000,0.0144900,0.0145120,0.0142800,0.0142980,293
RUBEUR,D,20180302,000000,0.0142950,0.0143590,0.0141180,0.0142100,264
RUBEUR,D,20180303,000000,0.0142200,0.0142450,0.0142200,0.0142400,19
RUBEUR,D,20180304,000000,0.0141490,0.0142030,0.0141310,0.0141310,21
RUBEUR,D,20180305,000000,0.0141380,0.0143240,0.0141350,0.0143240,281
RUBEUR,D,20180306,000000,0.0143190,0.0143430,0.0141540,0.0141820,293
RUBEUR,D,20180307,000000,0.0141760,0.0141830,0.0140570,0.0141280,247
RUBEUR,D,20180308,000000,0.0141190,0.0141920,0.0140760,0.0141730,270
RUBEUR,D,20180309,000000,0.0141740,0.0142960,0.0141670,0.0142960,246
RUBEUR,D,20180310,000000,0.0142890,0.0142950,0.0142860,0.0142900,17
RUBEUR,D,20180311,000000,0.0142770,0.0142770,0.0142580,0.0142590,16
RUBEUR,D,20180312,000000,0.0142460,0.0142950,0.0141880,0.0142060,251
RUBEUR,D,20180313,000000,0.0141870,0.0142240,0.0140780,0.0140900,255
RUBEUR,D,20180314,000000,0.0140940,0.0141720,0.0140690,0.0140890,251
RUBEUR,D,20180315,000000,0.0140950,0.0141600,0.0140470,0.0140950,251
RUBEUR,D,20180316,000000,0.0140880,0.0141030,0.0140310,0.0140990,236
RUBEUR,D,20180317,000000,0.0140940,0.0141050,0.0140940,0.0140960,10
RUBEUR,D,20180318,000000,0.0140960,0.0141310,0.0140910,0.0141300,14
RUBEUR,D,20180319,000000,0.0141290,0.0141460,0.0139230,0.0139800,244
RUBEUR,D,20180320,000000,0.0139820,0.0141510,0.0139560,0.0141390,260
RUBEUR,D,20180321,000000,0.0141310,0.0142010,0.0140880,0.0141980,292
RUBEUR,D,20180322,000000,0.0141970,0.0142180,0.0141300,0.0141430,290
RUBEUR,D,20180323,000000,0.0141480,0.0141680,0.0140610,0.0140900,294
RUBEUR,D,20180324,000000,0.0140940,0.0140940,0.0140830,0.0140830,7
RUBEUR,D,20180325,000000,0.0141070,0.0141090,0.0140800,0.0140800,12
RUBEUR,D,20180326,000000,0.0140760,0.0141450,0.0139480,0.0139970,256
RUBEUR,D,20180327,000000,0.0139990,0.0140860,0.0139630,0.0139960,245
RUBEUR,D,20180328,000000,0.0139920,0.0140260,0.0139410,0.0140210,242
RUBEUR,D,20180329,000000,0.0140150,0.0141500,0.0139890,0.0141380,259
RUBEUR,D,20180330,000000,0.0141450,0.0141790,0.0140650,0.0141490,294
RUBEUR,D,20180331,000000,0.0140820,0.0141490,0.0140820,0.0141490,7
RUBEUR,D,20180401,000000,0.0141740,0.0141740,0.0141290,0.0141370,15
RUBEUR,D,20180402,000000,0.0141400,0.0141590,0.0140440,0.0140810,294
RUBEUR,D,20180403,000000,0.0141430,0.0141560,0.0140410,0.0140970,294
RUBEUR,D,20180404,000000,0.0141000,0.0141320,0.0139970,0.0141280,293
RUBEUR,D,20180405,000000,0.0141330,0.0141330,0.0140760,0.0141100,294
RUBEUR,D,20180406,000000,0.0141090,0.0141370,0.0139460,0.0139600,264
RUBEUR,D,20180407,000000,0.0139660,0.0139690,0.0139470,0.0139470,8
RUBEUR,D,20180408,000000,0.0139640,0.0139650,0.0139530,0.0139580,17
RUBEUR,D,20180409,000000,0.0139570,0.0139810,0.0133360,0.0133390,233
RUBEUR,D,20180410,000000,0.0133380,0.0134310,0.0126470,0.0128290,293
RUBEUR,D,20180411,000000,0.0127780,0.0129100,0.0123740,0.0129060,294
RUBEUR,D,20180412,000000,0.0128930,0.0131740,0.0127670,0.0130330,293
RUBEUR,D,20180413,000000,0.0130540,0.0131790,0.0129790,0.0130050,293
RUBEUR,D,20180414,000000,0.0130020,0.0130210,0.0130020,0.0130210,8
RUBEUR,D,20180415,000000,0.0130180,0.0130250,0.0129050,0.0129050,22
RUBEUR,D,20180416,000000,0.0129060,0.0131870,0.0127850,0.0131620,244
RUBEUR,D,20180417,000000,0.0131710,0.0131980,0.0130220,0.0130870,251
RUBEUR,D,20180418,000000,0.0130870,0.0132480,0.0130100,0.0132300,255
RUBEUR,D,20180419,000000,0.0132310,0.0132720,0.0131700,0.0132470,248
RUBEUR,D,20180420,000000,0.0132210,0.0132570,0.0131480,0.0132040,247
RUBEUR,D,20180421,000000,0.0132080,0.0132100,0.0132080,0.0132100,7
RUBEUR,D,20180422,000000,0.0132360,0.0132480,0.0132340,0.0132390,8
RUBEUR,D,20180423,000000,0.0131750,0.0132970,0.0130940,0.0131970,268
RUBEUR,D,20180424,000000,0.0131870,0.0132790,0.0131840,0.0132300,264
RUBEUR,D,20180425,000000,0.0132240,0.0132520,0.0130850,0.0131250,256
RUBEUR,D,20180426,000000,0.0131200,0.0131610,0.0129920,0.0131260,242
RUBEUR,D,20180427,000000,0.0130990,0.0132900,0.0130930,0.0132150,246
RUBEUR,D,20180428,000000,0.0132120,0.0132120,0.0132040,0.0132090,12
RUBEUR,D,20180429,000000,0.0132270,0.0132950,0.0131200,0.0131340,23
RUBEUR,D,20180430,000000,0.0131300,0.0132040,0.0130420,0.0130930,284
RUBEUR,D,20180501,000000,0.0131000,0.0131250,0.0130300,0.0130550,293
RUBEUR,D,20180502,000000,0.0130540,0.0131130,0.0129730,0.0130160,293
RUBEUR,D,20180503,000000,0.0130070,0.0132170,0.0129940,0.0131850,293
RUBEUR,D,20180504,000000,0.0131920,0.0133610,0.0131190,0.0133200,292
RUBEUR,D,20180505,000000,0.0133350,0.0133350,0.0133090,0.0133090,6
RUBEUR,D,20180506,000000,0.0133380,0.0133380,0.0133050,0.0133150,14
RUBEUR,D,20180507,000000,0.0132730,0.0133590,0.0132650,0.0132810,242
RUBEUR,D,20180508,000000,0.0132860,0.0133180,0.0132020,0.0132800,246
RUBEUR,D,20180509,000000,0.0132780,0.0133480,0.0131570,0.0133440,250
RUBEUR,D,20180510,000000,0.0133200,0.0135690,0.0133000,0.0135370,248
RUBEUR,D,20180511,000000,0.0135260,0.0135690,0.0134550,0.0134750,248
RUBEUR,D,20180512,000000,0.0134750,0.0134790,0.0134750,0.0134750,13
RUBEUR,D,20180513,000000,0.0134560,0.0135590,0.0134560,0.0135510,9
RUBEUR,D,20180514,000000,0.0135440,0.0135500,0.0134190,0.0135060,291
RUBEUR,D,20180515,000000,0.0134970,0.0135280,0.0134100,0.0135070,294
RUBEUR,D,20180516,000000,0.0135180,0.0136990,0.0134710,0.0136700,236
RUBEUR,D,20180517,000000,0.0136710,0.0136870,0.0135800,0.0135840,235
RUBEUR,D,20180518,000000,0.0135850,0.0136340,0.0135300,0.0135730,239
RUBEUR,D,20180519,000000,0.0135680,0.0136070,0.0135680,0.0135830,8
RUBEUR,D,20180520,000000,0.0136100,0.0136100,0.0135750,0.0135750,18
RUBEUR,D,20180521,000000,0.0135750,0.0137600,0.0135300,0.0137270,294
RUBEUR,D,20180522,000000,0.0137250,0.0138690,0.0136910,0.0138170,293
RUBEUR,D,20180523,000000,0.0138200,0.0139010,0.0137770,0.0138900,293
RUBEUR,D,20180524,000000,0.0138920,0.0138920,0.0137660,0.0138080,293
RUBEUR,D,20180525,000000,0.0138010,0.0138340,0.0136920,0.0137360,293
RUBEUR,D,20180526,000000,0.0137910,0.0137910,0.0137460,0.0137460,10
RUBEUR,D,20180527,000000,0.0137150,0.0137750,0.0137020,0.0137020,23
RUBEUR,D,20180528,000000,0.0137420,0.0137760,0.0136560,0.0137530,291
RUBEUR,D,20180529,000000,0.0137570,0.0138000,0.0137290,0.0137400,244
RUBEUR,D,20180530,000000,0.0137320,0.0137850,0.0137150,0.0137510,241
RUBEUR,D,20180531,000000,0.0137570,0.0137670,0.0136450,0.0136530,253
RUBEUR,D,20180601,000000,0.0136510,0.0137680,0.0136420,0.0137270,294
RUBEUR,D,20180602,000000,0.0137370,0.0137370,0.0137340,0.0137340,7
RUBEUR,D,20180603,000000,0.0137900,0.0137900,0.0137710,0.0137730,13
RUBEUR,D,20180604,000000,0.0137930,0.0137930,0.0136890,0.0137270,289
RUBEUR,D,20180605,000000,0.0137200,0.0137660,0.0136760,0.0136790,254
RUBEUR,D,20180606,000000,0.0136800,0.0138090,0.0136220,0.0136940,248
RUBEUR,D,20180607,000000,0.0136910,0.0137260,0.0134790,0.0135360,241
RUBEUR,D,20180608,000000,0.0135360,0.0135970,0.0134820,0.0135860,292
RUBEUR,D,20180609,000000,0.0135900,0.0135950,0.0135840,0.0135860,7
RUBEUR,D,20180610,000000,0.0135860,0.0136210,0.0135520,0.0135520,16
RUBEUR,D,20180611,000000,0.0135520,0.0136110,0.0134330,0.0134580,290
RUBEUR,D,20180612,000000,0.0134640,0.0135100,0.0134110,0.0134610,293
RUBEUR,D,20180613,000000,0.0134500,0.0135760,0.0132680,0.0135220,294
RUBEUR,D,20180614,000000,0.0134990,0.0138020,0.0134710,0.0137600,294
RUBEUR,D,20180615,000000,0.0137700,0.0138060,0.0135470,0.0135920,291
RUBEUR,D,20180616,000000,0.0135960,0.0135960,0.0135920,0.0135920,7
RUBEUR,D,20180617,000000,0.0136030,0.0136050,0.0135980,0.0136050,6
RUBEUR,D,20180618,000000,0.0136960,0.0136960,0.0134640,0.0135260,292
RUBEUR,D,20180619,000000,0.0135290,0.0135330,0.0134160,0.0134570,290
RUBEUR,D,20180620,000000,0.0134530,0.0135700,0.0134530,0.0135220,291
RUBEUR,D,20180621,000000,0.0135380,0.0135560,0.0134570,0.0134830,295
RUBEUR,D,20180622,000000,0.0134890,0.0136100,0.0134010,0.0135810,293
RUBEUR,D,20180623,000000,0.0135530,0.0135570,0.0135530,0.0135570,7
RUBEUR,D,20180624,000000,0.0136070,0.0136070,0.0135780,0.0135780,10
RUBEUR,D,20180625,000000,0.0135590,0.0136160,0.0135180,0.0135420,261
RUBEUR,D,20180626,000000,0.0135320,0.0135980,0.0135030,0.0135710,263
RUBEUR,D,20180627,000000,0.0135490,0.0136590,0.0135210,0.0136360,255
RUBEUR,D,20180628,000000,0.0136580,0.0137200,0.0136160,0.0137130,261
RUBEUR,D,20180629,000000,0.0137090,0.0137220,0.0135730,0.0135730,290
RUBEUR,D,20180630,000000,0.0135860,0.0135860,0.0135750,0.0135750,8
RUBEUR,D,20180701,000000,0.0136270,0.0136360,0.0135410,0.0135410,23
RUBEUR,D,20180702,000000,0.0135610,0.0135870,0.0134870,0.0135040,294
RUBEUR,D,20180703,000000,0.0134970,0.0135500,0.0134270,0.0135340,289
RUBEUR,D,20180704,000000,0.0135330,0.0135460,0.0134850,0.0135240,287
RUBEUR,D,20180705,000000,0.0135030,0.0135230,0.0134530,0.0134970,289
RUBEUR,D,20180706,000000,0.0135020,0.0135020,0.0134250,0.0134800,287
RUBEUR,D,20180707,000000,0.0134630,0.0134760,0.0134630,0.0134760,7
RUBEUR,D,20180708,000000,0.0134810,0.0134940,0.0134750,0.0134800,12
RUBEUR,D,20180709,000000,0.0134750,0.0135910,0.0133740,0.0135730,251
RUBEUR,D,20180710,000000,0.0135860,0.0137590,0.0135470,0.0137300,258
RUBEUR,D,20180711,000000,0.0137260,0.0137610,0.0136510,0.0136930,242
RUBEUR,D,20180712,000000,0.0136710,0.0137860,0.0136640,0.0137120,232
RUBEUR,D,20180713,000000,0.0137110,0.0137740,0.0136250,0.0136250,237
RUBEUR,D,20180714,000000,0.0136300,0.0136300,0.0136100,0.0136100,7
RUBEUR,D,20180715,000000,0.0136250,0.0136750,0.0136250,0.0136740,12
RUBEUR,D,20180716,000000,0.0136240,0.0137060,0.0136140,0.0136610,233
RUBEUR,D,20180717,000000,0.0136330,0.0136800,0.0135790,0.0136440,238
RUBEUR,D,20180718,000000,0.0136400,0.0136770,0.0135320,0.0135840,265
RUBEUR,D,20180719,000000,0.0135850,0.0136040,0.0134280,0.0134480,247
RUBEUR,D,20180720,000000,0.0134550,0.0134970,0.0133650,0.0133890,287
RUBEUR,D,20180721,000000,0.0135480,0.0135480,0.0133980,0.0133980,7
RUBEUR,D,20180722,000000,0.0133780,0.0133840,0.0133730,0.0133830,23
RUBEUR,D,20180723,000000,0.0134100,0.0135230,0.0133440,0.0135110,287
RUBEUR,D,20180724,000000,0.0135110,0.0135950,0.0134350,0.0134670,291
RUBEUR,D,20180725,000000,0.0134610,0.0135510,0.0134470,0.0135410,289
RUBEUR,D,20180726,000000,0.0135240,0.0136070,0.0134800,0.0135940,253
RUBEUR,D,20180727,000000,0.0135940,0.0136390,0.0135760,0.0136200,232
RUBEUR,D,20180728,000000,0.0136570,0.0136570,0.0136110,0.0136140,9
RUBEUR,D,20180729,000000,0.0136120,0.0136170,0.0136030,0.0136120,6
RUBEUR,D,20180730,000000,0.0136360,0.0136880,0.0135760,0.0136670,291
RUBEUR,D,20180731,000000,0.0136740,0.0136840,0.0135970,0.0136240,287
RUBEUR,D,20180801,000000,0.0136270,0.0136610,0.0135420,0.0135520,287
RUBEUR,D,20180802,000000,0.0135820,0.0135900,0.0135030,0.0135760,289
RUBEUR,D,20180803,000000,0.0135740,0.0136140,0.0135260,0.0135260,287
RUBEUR,D,20180804,000000,0.0134790,0.0136040,0.0134790,0.0136040,11
RUBEUR,D,20180805,000000,0.0136160,0.0136160,0.0135480,0.0135850,17
RUBEUR,D,20180806,000000,0.0135850,0.0136240,0.0135160,0.0135200,290
RUBEUR,D,20180807,000000,0.0135250,0.0135570,0.0135190,0.0135210,279
RUBEUR,D,20180808,000000,0.0135250,0.0135320,0.0130740,0.0130740,289
RUBEUR,D,20180809,000000,0.0130800,0.0130970,0.0128920,0.0129590,284
RUBEUR,D,20180810,000000,0.0129670,0.0130300,0.0128730,0.0128940,239
RUBEUR,D,20180811,000000,0.0129060,0.0129060,0.0128940,0.0128940,8
RUBEUR,D,20180812,000000,0.0129260,0.0129390,0.0128690,0.0128960,23
RUBEUR,D,20180813,000000,0.0129010,0.0129330,0.0126200,0.0129230,271
RUBEUR,D,20180814,000000,0.0129270,0.0132410,0.0128700,0.0132270,246
RUBEUR,D,20180815,000000,0.0132430,0.0132570,0.0129830,0.0130450,239
RUBEUR,D,20180816,000000,0.0130550,0.0131260,0.0129980,0.0131040,271
RUBEUR,D,20180817,000000,0.0130990,0.0131140,0.0129250,0.0130020,279
RUBEUR,D,20180818,000000,0.0129980,0.0130010,0.0129980,0.0129980,12
RUBEUR,D,20180819,000000,0.0129800,0.0129820,0.0129530,0.0129600,16
RUBEUR,D,20180820,000000,0.0129600,0.0130330,0.0129220,0.0129280,272
RUBEUR,D,20180821,000000,0.0129360,0.0129480,0.0127820,0.0128160,262
RUBEUR,D,20180822,000000,0.0127870,0.0128110,0.0125610,0.0126300,280
RUBEUR,D,20180823,000000,0.0126210,0.0127510,0.0124910,0.0126420,287
RUBEUR,D,20180824,000000,0.0126470,0.0127760,0.0126190,0.0127760,288
RUBEUR,D,20180825,000000,0.0127470,0.0127470,0.0127060,0.0127060,7
RUBEUR,D,20180826,000000,0.0127350,0.0127440,0.0127100,0.0127200,18
RUBEUR,D,20180827,000000,0.0127130,0.0127660,0.0126100,0.0126440,287
RUBEUR,D,20180828,000000,0.0126590,0.0126740,0.0125160,0.0125490,277
RUBEUR,D,20180829,000000,0.0125480,0.0125890,0.0124580,0.0125200,287
RUBEUR,D,20180830,000000,0.0124930,0.0125670,0.0124880,0.0125090,290
RUBEUR,D,20180831,000000,0.0125010,0.0127390,0.0124980,0.0127110,291
RUBEUR,D,20180901,000000,0.0127160,0.0127200,0.0126760,0.0127200,7
RUBEUR,D,20180902,000000,0.0127140,0.0127140,0.0127140,0.0127140,2
RUBEUR,D,20180903,000000,0.0127110,0.0127220,0.0125760,0.0126400,292
RUBEUR,D,20180904,000000,0.0126230,0.0126660,0.0125950,0.0126120,291
RUBEUR,D,20180905,000000,0.0126170,0.0126430,0.0125260,0.0125570,286
RUBEUR,D,20180906,000000,0.0125530,0.0126570,0.0123420,0.0123740,272
RUBEUR,D,20180907,000000,0.0123790,0.0124290,0.0123060,0.0123060,290
RUBEUR,D,20180908,000000,0.0123090,0.0123090,0.0123060,0.0123060,7
RUBEUR,D,20180909,000000,0.0123400,0.0124000,0.0123350,0.0124000,24
RUBEUR,D,20180910,000000,0.0124000,0.0124000,0.0121640,0.0121730,290
RUBEUR,D,20180911,000000,0.0121760,0.0123660,0.0121520,0.0123660,291
RUBEUR,D,20180912,000000,0.0123660,0.0124580,0.0123290,0.0124160,289
RUBEUR,D,20180913,000000,0.0124370,0.0125620,0.0124050,0.0124760,288
RUBEUR,D,20180914,000000,0.0124740,0.0126150,0.0124220,0.0125780,289
RUBEUR,D,20180915,000000,0.0125860,0.0125920,0.0125710,0.0125920,8
RUBEUR,D,20180916,000000,0.0125760,0.0126020,0.0125760,0.0126020,12
RUBEUR,D,20180917,000000,0.0125910,0.0126000,0.0125130,0.0125200,284
RUBEUR,D,20180918,000000,0.0125200,0.0126760,0.0124740,0.0126680,291
RUBEUR,D,20180919,000000,0.0126830,0.0127990,0.0126510,0.0127850,291
RUBEUR,D,20180920,000000,0.0127940,0.0128420,0.0127250,0.0127530,275
RUBEUR,D,20180921,000000,0.0127500,0.0127700,0.0126800,0.0127660,289
RUBEUR,D,20180922,000000,0.0127550,0.0127870,0.0127550,0.0127560,7
RUBEUR,D,20180923,000000,0.0127590,0.0127650,0.0127250,0.0127290,8
RUBEUR,D,20180924,000000,0.0127280,0.0128810,0.0127010,0.0128660,292
